# ID  glon  glat  vrad fe_h mg_fe o_fe 
2M16590334-2835527         -5.49783   8.61181  -59.938 -0.296  0.293  0.227 
2M16593144-2821264         -5.24123   8.67613   -4.154 -0.842  0.389  0.297 
2M16593242-2840176         -5.49162   8.48263  189.426 -0.807  0.283  0.302 
2M16593261-2807201         -5.04945   8.81525   39.234  0.273  0.003  0.010 
2M16593295-2846026         -5.56741   8.42290  -12.317 -0.675  0.324  0.319 
2M16593724-2845540         -5.55589   8.41190   44.857 -0.094  0.256  0.205 
2M16593882-2829463         -5.33632   8.57042    3.733  0.368  0.073  0.035 
2M16594543-2802059         -4.95029   8.83064  -92.851 -0.308  0.315  0.248 
2M16595320-2840129         -5.44399   8.42302   -9.475 -0.257  0.193  0.154 
2M17000080-2816062         -5.10364   8.64437   83.336 -0.294  0.243  0.191 
2M17000646-2757081         -4.83627   8.81910 -149.194 -0.540  0.392  0.294 
2M17000710-2823225         -5.18705   8.55259  -71.014 -0.607  0.331  0.277 
2M17001419-2756185         -4.80776   8.80476   23.610  0.387  0.040  0.006 
2M17001907-2839105         -5.37213   8.35828 -179.743 -1.157  0.281  0.364 
2M17003459-2838598         -5.33501   8.31490  -59.153  0.003  0.218  0.184 
2M17003623-2759364         -4.80250   8.70692    1.580 -0.316  0.292  0.258 
2M17003737-2822568         -5.11343   8.46855   28.230 -0.699  0.328  0.256 
2M17003929-2857304         -5.57267   8.11457  -54.085 -1.187  0.331  0.351 
2M17004162-2859226         -5.59254   8.08893   37.753 -0.374  0.375  0.301 
2M17005167-2854383         -5.50664   8.10755 -225.459 -0.602  0.359  0.273 
2M17010485-2808193         -4.85542   8.53535 -222.323 -0.326  0.322  0.257 
2M17010605-2853101         -5.45489   8.08058   13.216 -0.527  0.299  0.263 
2M17011230-2759179         -4.71737   8.60416   56.044  0.236  0.114  0.035 
2M17011479-3422016         -9.81597   4.72420 -123.804 -0.048  0.128  0.093 
2M17011984-2916345         -5.73805   7.80478  -16.119  0.106  0.161  0.243 
2M17012168-2908258         -5.62479   7.88149  -15.810 -0.393  0.318  0.262 
2M17012259-2905595         -5.59007   7.90341  -82.161 -0.518  0.366  0.277 
2M17012452-2828009         -5.07606   8.27982 -122.239 -0.470  0.345  0.284 
2M17013378-2834416         -5.14512   8.18568   60.576  0.038  0.129  0.087 
2M17013520-2906538         -5.57421   7.85770  -69.135 -0.448  0.310  0.277 
2M17013579-2838558         -5.19754   8.13722   17.425 -0.571  0.360  0.245 
2M17013595-2820293         -4.94938   8.32201    0.528 -0.329  0.305  0.221 
2M17013698-2916213         -5.69710   7.75737  143.103 -0.500  0.375  0.280 
2M17013714-2828338         -5.05527   8.23743 -156.529 -0.541  0.315  0.259 
2M17013893-3435365         -9.94505   4.52033   13.026 -0.231  0.246  0.220 
2M17013899-2906207         -5.55843   7.85226   29.180 -1.706  0.268  0.298 
2M17014040-2844417         -5.26472   8.06585  -37.039  0.443  0.089  0.020 
2M17014140-2812173         -4.82695   8.38839 -160.077 -1.163  0.330  0.380 
2M17014260-2841012         -5.21047   8.09637  -69.416 -0.984  0.370  0.298 
2M17014343-2913456         -5.64801   7.76478   13.073 -0.057  0.174  0.149 
2M17014417-2856308         -5.41500   7.93609  -15.280  0.069  0.156  0.146 
